N_event,t_trig,tP1,tP2,tP3
287,7.472,3114,3114,3113
288,7.487,3114,3114,3113
289,7.503,3113,3113,3113
290,7.519,3113,3113,3113
291,7.535,3113,3113,3113
292,7.551,3113,3113,3112
293,7.583,3114,3114,3113
294,7.599,3114,3110,3113
295,7.615,3113,3113,3113
296,7.631,3113,3113,3113
297,7.647,3113,3113,3113
298,7.663,3113,3113,3113
299,7.679,3113,3113,3113
300,7.711,3113,3113,3112
301,7.728,3113,3113,3113
302,7.743,3107,3113,3113
303,7.759,3113,3113,3112
304,7.775,3114,3113,3113
305,7.791,3113,3113,3113
306,7.823,3113,3113,3112
307,7.839,3113,3113,3113
308,7.855,3113,3113,3113
309,7.871,3113,3113,3113
310,7.887,3114,3114,3113
311,7.903,3113,3113,3113
312,7.935,3113,3113,3113
313,7.951,3113,3113,3113
314,7.967,3113,3113,3112
315,7.983,3114,3110,3113
316,7.999,3114,3113,3113
317,8.015,3113,3113,3112
318,8.047,3113,3113,3113
319,8.063,3113,3113,3113
320,8.079,3113,3113,3112
321,8.095,3114,3114,3113
322,8.111,3114,3114,3113
323,8.127,3113,3113,3113
324,8.144,3113,3113,3113
325,8.175,3113,3113,3113
326,8.191,3114,3114,3113
327,8.207,3113,3113,3113
328,8.223,3113,3113,3113
329,8.239,3114,3113,3113
330,8.255,3114,3114,3113
331,8.287,3113,3113,3113
332,8.303,3114,3113,3113
333,8.319,3114,3114,3113
334,8.335,3114,3113,3113
335,8.351,3113,3113,3113
336,8.367,3113,3113,3113
337,8.399,3114,3110,3113
338,8.415,3113,3113,3113
339,8.431,3113,3113,3112
340,8.447,3113,3113,3113
341,8.463,3113,3113,3113
342,8.479,3113,3113,3113
343,8.511,3113,3113,3113
344,8.528,3113,3113,3113
345,8.543,3113,3113,3113
346,8.559,3113,3113,3113
347,8.575,3113,3113,3113
348,8.591,3114,3113,3113
349,8.607,3114,3114,3113
350,8.639,3113,3113,3113
351,8.655,3113,3113,3113
352,8.671,3113,3113,3112
353,8.687,3113,3113,3113
354,8.703,3113,3113,3113
355,8.719,3113,3113,3113
356,8.751,3113,3113,3113
357,8.768,3113,3113,3113
358,8.783,3114,3114,3113
359,8.799,3113,3113,3113
360,8.815,3114,3114,3113
361,8.831,3113,3113,3113
362,8.863,3113,3113,3113
363,8.879,3114,3112,3113
364,8.895,3113,3113,3113
365,8.911,3113,3113,3113
366,8.928,3113,3113,3113
367,8.943,3113,3113,3113
368,8.975,3114,3113,3113
369,8.991,3113,3113,3113
370,9.007,3113,3113,3113
371,9.023,3113,3113,3112
372,9.039,3113,3113,3113
373,9.055,3113,3113,3112
374,9.071,3113,3113,3113
375,9.103,3113,3113,3113
376,9.119,3114,3114,3113
377,9.135,3114,3114,3113
378,9.151,3113,3113,3112
379,9.167,3113,3113,3113
380,9.184,3113,3113,3113
381,9.215,3113,3113,3112
382,9.231,3114,3113,3113
383,9.247,3113,3113,3112
384,9.263,3113,3113,3112
385,9.279,3113,3113,3113
386,9.295,3113,3113,3113
387,9.327,3113,3113,3113
388,9.344,3113,3113,3112
389,9.359,3113,3113,3112
390,9.375,3113,3113,3113
391,9.391,3113,3113,3113
392,9.407,3114,3113,3113
393,9.439,3113,3113,3113
394,9.455,3113,3113,3113
395,9.471,3114,3113,3113
396,9.487,3113,3113,3113
397,9.503,3114,3114,3113
398,9.519,3113,3113,3113
399,9.535,3113,3113,3113
400,9.567,3113,3113,3113
401,9.583,3113,3113,3113
402,9.599,3114,3114,3113
403,9.615,3113,3113,3113
404,9.631,3113,3113,3113
405,9.647,3113,3113,3113
406,9.679,3113,3113,3112
407,9.695,3113,3113,3113
408,9.711,3113,3113,3113
409,9.727,3114,3114,3113
410,9.743,3113,3113,3112
411,9.759,3114,3114,3113
412,9.791,3113,3113,3113
413,9.807,3113,3113,3113
414,9.823,3113,3113,3113
415,9.839,3113,3113,3113
416,9.855,3113,3113,3113
417,9.871,3114,3113,3113
418,9.903,3114,3114,3113
419,9.92,3113,3113,3113
420,9.935,3113,3113,3112
421,9.951,3113,3113,3112
422,9.967,3114,3114,3113
423,9.983,3114,3110,3113
424,9.999,3114,3113,3113
425,10.031,3113,3113,3112
426,10.047,3113,3113,3113
427,10.063,3113,3113,3113
428,10.079,3113,3113,3113
429,10.095,3114,3114,3113
430,10.111,3113,3113,3113
431,10.143,3113,3113,3112
432,10.159,3113,3113,3113
433,10.176,3113,3113,3113
434,10.191,3113,3113,3113
435,10.207,3114,3114,3113
436,10.223,3113,3113,3113
437,10.255,3114,3114,3113
438,10.271,3114,3113,3113
439,10.287,3113,3113,3113
440,10.303,3114,3113,3113
441,10.319,3113,3113,3113
442,10.335,3113,3113,3112
443,10.367,3114,3114,3113
444,10.383,3113,3113,3113
445,10.399,3113,3113,3113
446,10.415,3113,3113,3113
447,10.431,3113,3113,3113
448,10.447,3113,3113,3112
449,10.463,3113,3113,3113
450,10.495,3113,3113,3112
451,10.511,3113,3113,3113
452,10.528,3113,3113,3113
453,10.543,3113,3113,3113
454,10.559,3113,3113,3112
455,10.575,3113,3113,3113
456,10.607,3114,3114,3113
457,10.623,3113,3113,3112
458,10.639,3113,3113,3113
459,10.655,3111,3113,3113
460,10.671,3113,3113,3113
461,10.687,3114,3114,3113
462,10.719,3114,3113,3113
463,10.735,3113,3113,3113
464,10.751,3114,3114,3113
465,10.767,3113,3113,3113
466,10.783,3113,3113,3113
467,10.799,3114,3113,3113
468,10.831,3113,3113,3113
469,10.847,3113,3113,3113
470,10.863,3113,3113,3113
471,10.879,3114,3114,3113
472,10.895,3114,3113,3113
473,10.911,3113,3113,3113
474,10.927,3114,3113,3113
475,10.959,3113,3113,3112
476,10.975,3113,3113,3112
477,10.991,3113,3113,3113
478,11.007,3114,3114,3113
479,11.023,3114,3114,3113
480,11.04,3113,3113,3113
481,11.071,3113,3113,3113
482,11.087,3113,3113,3112
483,11.103,3114,3113,3113
484,11.119,3113,3113,3112
485,11.135,3113,3113,3113
486,11.151,3114,3110,3113
487,11.183,3113,3113,3113
488,11.199,3113,3113,3113
489,11.215,3113,3113,3113
490,11.231,3114,3110,3113
491,11.248,3107,3113,3113
492,11.263,3113,3113,3112
493,11.295,3114,3113,3113
494,11.311,3114,3113,3113
495,11.327,3113,3113,3113
496,11.343,3113,3113,3112
497,11.359,3113,3113,3113
498,11.375,3113,3113,3112
499,11.391,3113,3113,3113
500,11.423,3113,3113,3112
501,11.439,3113,3113,3113
502,11.455,3114,3114,3113
503,11.471,3113,3113,3113
504,11.487,3113,3113,3113
505,11.503,3114,3114,3113
506,11.535,3113,3113,3113
507,11.551,3113,3113,3113
508,11.567,3113,3113,3112
509,11.583,3114,3114,3113
