N_event,t_trig,tP2
91189,32607.129,87
91298,32645.304,88
91388,32679.607,111
91503,32724.085,1008
91670,32779.075,2403
91713,32795.187,196
91846,32849.473,158
91873,32860.128,920
92008,32901.47,995
92066,32923.166,3965
92075,32925.406,2426
92316,33004.603,572
92329,33009.562,116
92511,33071.705,365
92617,33116.439,219
92856,33201.268,1448
92882,33210.964,441
92974,33240.611,666
93447,33393.676,421
93791,33508.841,826
94008,33589.894,514
94104,33627.829,1175
94246,33678.355,666
94270,33689.314,890
94310,33706.034,183
94448,33757.423,171
94660,33828.27,684
94690,33840.701,79
94705,33848.076,345
94763,33868.172,197
94777,33874.444,20
94883,33911.034,252
95179,34018.263,665
95732,34199.088,1097
95819,34233.423,791
95869,34250.399,288
95951,34274.942,271
96048,34307.837,1279
96072,34317.5,809
96255,34376.746,674
96258,34377.083,320
96472,34459.24,115
96484,34462.535,2134
96500,34466.135,2235
96617,34509.206,1389
96677,34532.885,206
96769,34570.643,221
97114,34696.042,168
97339,34771.917,856
97450,34812.571,601
97457,34814.587,726
97464,34817.611,146
97498,34830.107,956
98056,35016.037,398
98059,35016.805,90
98430,35148.736,273
98453,35156.88,544
98481,35169.712,6
98552,35192.031,69
98569,35197.838,91
98959,35339.514,312
99022,35362.777,199
99350,35480.981,228
99613,35574.002,2211
99801,35639.872,623
100043,35727.949,253
100388,35846.073,154
100398,35849.385,808
100632,35931.655,271
100687,35949.061,37
100695,35952.15,658
101095,36093.409,603
101140,36108.689,23
101240,36148.239,326
101468,36230.573,486
101601,36282.988,362
101622,36289.515,931
101890,36393.992,25
102142,36484.917,214
102239,36522.596,351
102526,36625.968,222
102537,36631.824,19
102548,36635.999,280
102791,36713.438,507
102953,36774.103,113
102988,36790.027,332
103097,36827.178,90
103160,36850.729,736
103409,36928.775,62
103651,37014.772,144
103740,37043.731,36
103850,37077.378,70
104344,37253.229,598
104693,37373.641,87
104974,37469.238,1963
105092,37510.149,361
105283,37574.419,16
105324,37593.186,316
105367,37605.426,348
105421,37626.225,505
105473,37643.712,1639
105786,37754.701,588
106049,37850.042,136
106074,37857.802,510
106097,37868.074,117
106963,38175.872,1006
107514,38370.187,1670
107554,38385.946,443
107778,38464.84,359
108296,38644.866,207
108297,38645.986,16
108687,38780.638,558
108888,38852.333,304
108907,38858.668,829
109014,38894.267,280
109247,38976.873,111
109284,38993.416,1281
109330,39010.552,443
109446,39044.183,438
109615,39098.373,572
109775,39147.827,265
109909,39197.362,753
109992,39227.633,977
110009,39233.713,366
110190,39298.575,524
110448,39389.549,60
110466,39396.188,230
110485,39403.212,82
110561,39432.316,23
110715,39493.673,1557
110804,39526.745,128
111326,39703.075,292
111402,39732.691,241
111591,39796.833,328
111689,39830.832,565
111911,39905.182,106
111934,39910.766,151
112105,39969.196,1173
112124,39974.476,565
112309,40040.298,1156
112412,40077.032,38
112483,40109.991,234
112896,40257.347,102
112994,40289.362,585
113881,40607.273,10
114032,40661.736,158
114252,40743.19,103
114623,40881.65,2802
115045,41030.589,396
115161,41073.628,145
115242,41107.451,637
115337,41142.282,258
115349,41146.234,362
115486,41197.369,717
115510,41207.256,48
115536,41217.08,1439
115634,41246.887,68
115647,41250.871,767
115970,41360.196,689
116007,41371.956,12
116181,41440.77,483
116190,41443.73,59
116338,41492.721,56
116387,41508.32,20
116400,41512.16,1151
116598,41587.23,77
117187,41805.208,421
117443,41882.437,385
117470,41892.134,320
117645,41954.003,23
117672,41964.947,1412
117722,41984.515,440
117956,42065.377,780
117972,42071.585,698
118301,42197.325,88
118362,42217.436,1065
118381,42223.66,67
118451,42249.964,142
118526,42272.763,49
118574,42287.147,413
118955,42424.695,76
119252,42518.74,137
119341,42551.475,562
119443,42586.691,756
119764,42704.158,624
120227,42863.467,33
120293,42887.642,511
120383,42921.177,882
120730,43041.798,345
121095,43167.587,124
121167,43199.138,3703
121405,43281.536,726
121438,43292.015,267
121668,43380.012,559
121797,43426.731,349
121958,43486.634,295
122007,43504.874,129
122039,43515.001,1357
122108,43539.625,22
122208,43575.336,85
122703,43742.227,174
122829,43787.538,19
123165,43910.255,84
123282,43955.87,807
123329,43971.405,301
123346,43975.789,329
123417,44006.268,229
123435,44011.815,494
123743,44124.537,144
123861,44164.599,274
123907,44180.583,438
123993,44207.398,603
124260,44298.964,43
124384,44347.827,168
124695,44459.68,322
124873,44517.646,321
124916,44533.47,39
125021,44574.205,2216
125240,44645.564,104
125242,44647.707,510
125308,44669.019,922
125394,44699.625,122
125434,44715.177,226
125442,44717.61,287
125581,44766.344,197
125816,44844.166,70
125835,44849.398,78
125873,44862.006,167
125922,44880.293,382
125987,44900.372,3617
126058,44924.851,4006
126130,44952.995,710
126242,44990.53,130
126300,45013.314,192
126415,45055.505,285
126648,45140.398,362
126693,45159.95,1660
126742,45179.069,221
126956,45254.891,327
127045,45282.998,286
127082,45295.93,1183
127672,45505.829,1018
127812,45555.956,388
127987,45621.826,40
128337,45743.518,56
128582,45834.556,946
128836,45927.673,400
129046,45995.879,189
129650,46215.234,52
129814,46265.313,171
129878,46285.745,594
130128,46371.918,399
130350,46442.3,165
130590,46525.994,51
130828,46612.632,681
130976,46670.567,74
131001,46678.035,1887
131049,46693.75,275
131159,46733.877,141
131203,46746.485,928
131399,46818.995,317
131405,46820.787,513
131436,46835.762,228
131453,46840.754,1048
131516,46863.154,93
131557,46878.354,720
131658,46917.408,844
131737,46942.447,36
131841,46979.503,22
132558,47224.472,97
132689,47265.095,572
132718,47273.719,15
132720,47274.535,1823
132824,47308.278,376
132938,47346.533,379
132949,47349.285,710
133009,47368.085,2114
133155,47421.539,338
133442,47528.097,17
133464,47536.529,471
133624,47591.631,305
133762,47640.862,1309
133848,47675.549,50
133962,47717.387,499
134059,47754.619,108
134143,47792.586,1058
134257,47829.961,99
134265,47833.689,2432
134420,47882.119,51
134421,47882.327,287
134613,47950.326,1129
134735,47989.493,372
134750,47993.573,290
134878,48044.564,572
134945,48068.099,206
135139,48142.641,384
135381,48228.335,35
135556,48290.061,897
135588,48299.949,167
135695,48330.093,18
135879,48400.347,17
136099,48477.352,1580
136315,48553.208,153
136350,48567.624,1728
136479,48615.76,826
136553,48635.477,84
136565,48639.316,1160
136677,48679.108,729
136700,48685.332,40
136827,48729.218,775
136916,48764.049,64
137698,49032.203,14
137743,49049.978,1184
138008,49146.535,25
138096,49177.927,212
138105,49182.679,27
138192,49213.814,843
138201,49216.231,115
138284,49240.037,1566
138436,49293.428,117
138586,49352.883,295
138622,49366.659,30
138661,49381.426,1083
138766,49417.265,1944
139141,49554.093,51
139545,49707.226,577
139631,49740.153,160
139658,49752.505,990
139798,49802.36,109
139893,49837.639,595
140049,49883.334,32
140115,49907.317,512
140178,49933.412,1146
140630,50090.769,121
140879,50179.833,77
140885,50181.134,1527
140905,50188.142,319
140912,50191.389,9
140927,50195.806,809
141055,50240.829,216
141369,50365.129,868
141448,50387.849,428
141555,50435.091,809
141603,50456.279,223
141801,50514.486,425
141941,50562.789,855
141986,50582.052,124
142093,50613.283,593
142389,50714.417,215
142413,50726.272,101
142455,50740.848,400
142565,50776.383,26
142724,50824.799,790
142906,50888.46,581
143113,50953.291,549
143342,51030.521,210
143500,51081.832,1174
143542,51094.642,80
143807,51186.325,311
143822,51192.133,172
143841,51200.005,66
144072,51283.603,553
144369,51380.497,217
144506,51436.863,28
144514,51439.647,149
144570,51460.895,538
144602,51469.071,184
144612,51472.559,1114
144782,51533.821,1283
144894,51578.476,2394
144968,51610.123,41
145153,51676.697,1641
145246,51711.993,1869
145422,51775.91,892
145529,51824.229,3182
145556,51832.79,99
145742,51900.948,55
145912,51955.059,116
146187,52044.096,1635
146243,52061.696,1003
146286,52081.759,749
146758,52251.387,150
146878,52297.194,2212
146964,52327.193,29
147028,52350.985,22
147053,52357.626,354
147092,52371.8,628
147152,52391.096,148
147320,52449.91,1600
147327,52451.046,27
147361,52461.974,115
147460,52502.757,49
147467,52505.605,704
147617,52558.035,27
147827,52635.186,51
147838,52639.666,469
147842,52641.714,820
147845,52642.913,247
147909,52663.089,1121
148079,52718.735,1217
148162,52746.319,114
148328,52803.694,239
148498,52869.788,158
148923,53032.68,149
149045,53084.775,72
149165,53132.63,32
149222,53150.886,774
149337,53190.356,1783
149346,53194.484,918
149381,53204.932,218
149435,53224.452,652
149548,53266.754,1193
149588,53279.682,505
149744,53335.089,556
149912,53390.496,801
149927,53395.648,227
150083,53441.737,72
150235,53497.805,242
150898,53723.911,850
150932,53736.391,164
151125,53802.47,81
151395,53899.907,247
151426,53909.187,242
151571,53964.866,772
151674,54001.089,719
151700,54008.24,159
151730,54021.377,155
151877,54073.311,384
151964,54108.158,693
152173,54173.74,48
152186,54179.212,1564
152224,54187.692,1846
152303,54217.948,27
152322,54225.083,1192
152369,54240.107,404
152406,54254.043,495
152483,54283.114,223
152662,54347.96,18
152809,54396.055,44
152908,54427.543,1081
152979,54451.718,306
153305,54567.538,316
153714,54713.056,769
153722,54716.287,355
153924,54786.863,844
153989,54812.893,1353
154008,54820.764,105
154019,54823.357,603
154305,54930.554,1594
154421,54968.361,642
154480,54992.809,850
154517,55004.761,730
154612,55040.535,920
154819,55111.526,180
155056,55200.692,669
155283,55284.802,90
155467,55347.344,1345
155707,55431.102,372
155736,55444.654,1363
155865,55492.141,482
155894,55498.621,221
155952,55520.7,86
156110,55572.533,422
156128,55580.603,630
156160,55593.098,718
156205,55604.986,23
156233,55613.194,1177
156311,55641.673,3568
156355,55657.128,521
156524,55717.304,131
156532,55719.863,221
156562,55734.631,530
156729,55794.501,1054
157203,55965.483,944
157490,56068.757,203
157748,56155.935,458
158872,56552.116,85
158954,56577.075,168
158994,56592.658,306
159748,56866.768,545
159811,56887.294,88
159831,56894.392,1026
159987,56954.25,471
160376,57102.257,751
160382,57105.168,400
160584,57172.444,19
161006,57321.202,120
161228,57398.334,893
161238,57402.205,1754
161332,57437.708,340
161393,57462.857,1096
161533,57516.871,294
161537,57518.935,66
161609,57545.621,355
161823,57621.424,133
162115,57722.986,560
162372,57810.997,16
162487,57852.386,887
162535,57869.921,1787
162583,57885.552,55
162616,57894.235,125
162638,57900.047,29
162783,57954.284,512
162923,58005.129,1300
163120,58083.797,112
163283,58149.793,155
163818,58358.165,408
164020,58429.776,3253
164132,58466.287,186
164318,58530.651,59
164328,58538.01,217
164435,58576.616,347
164478,58592.263,182
164499,58600.967,621
164604,58639.797,105
164968,58776.62,300
165474,58953.923,368
165629,59004.832,353
165728,59039.423,90
165744,59044.35,789
165802,59064.109,238
166112,59174.759,1497
166148,59189.047,132
166473,59303.531,1107
166517,59313.744,267
166523,59315.04,19
166650,59361.229,230
166689,59375.836,1178
166721,59385.452,200
166852,59428.026,2833
166903,59443.081,906
166964,59462.344,520
167193,59552.003,38
167296,59589.713,736
167311,59597.105,387
167554,59682.892,389
167917,59801.35,919
167941,59808.933,864
168028,59843.076,993
168189,59897.313,965
168327,59944.59,1161
168548,60025.178,533
168560,60028.922,22
168669,60067.656,93
168847,60124.597,233
168855,60129.269,1345
168938,60159.14,456
168975,60171.763,94
169139,60225.488,1248
169142,60227.44,679
169350,60300.285,277
169474,60345.226,127
169503,60356.938,779
169750,60446.981,1032
169851,60485.075,123
170141,60581.086,608
170235,60616.349,2587
170889,60845.81,123
170917,60859.777,82
170941,60870.224,55
171515,61058.023,58
171697,61124.02,268
171886,61192.001,313
171912,61202.177,506
172508,61415.927,281
172787,61511.378,30
172833,61530.432,31
173012,61590.062,745
173029,61596.43,387
173060,61609.181,516
173085,61613.837,171
173324,61691.081,242
173368,61706.009,92
173540,61763.638,469
173867,61885.584,110
173941,61914.751,1043
174008,61936.782,24
174228,62009.019,1083
174286,62034.234,499
174618,62157.589,44
174762,62204.002,3027
175151,62345.292,158
175189,62355.884,2459
175354,62417.257,651
175414,62434.104,242
175512,62468.519,211
175711,62544.515,891
175799,62579.058,1137
175892,62613.696,35
175916,62622.752,419
176003,62654.735,315
176357,62789.481,308
176421,62817.672,27
176624,62897.892,875
176665,62913.748,578
176763,62953.65,26
177093,63064.317,199
177104,63068.813,1110
177115,63073.452,1149
177310,63134.362,250
177336,63141.834,324
177412,63168.712,792
177528,63217.575,129
177804,63306.946,65
177843,63320.851,176
178212,63456.044,434
178318,63497.115,86
178338,63505.318,1107
178375,63516.042,2130
178908,63691.426,1883
178957,63706.242,54
178987,63716.274,293
179055,63746.273,402
179178,63793.519,1697
179252,63819.486,306
179253,63820.141,375
179312,63842.348,470
179419,63879.131,544
179469,63897.888,498
179897,64058.068,87
180129,64145.216,730
180183,64162.032,555
180246,64193.599,1518
180639,64341.272,560
180692,64358.552,101
180758,64386.775,228
180890,64433.141,564
180966,64461.268,349
181040,64487.411,3337
181282,64579.615,447
181332,64595.231,56
181333,64595.983,29
181498,64648.797,32
181681,64718.794,512
181711,64729.61,191
181902,64793.559,1622
181912,64797.063,1217
181938,64803.51,401
182231,64905.299,579
182279,64922.642,24
182438,64981.408,51
182685,65070.332,92
182907,65153.705,180
182920,65158.137,101
183055,65202.983,314
183152,65234.118,159
183306,65285.14,510
183386,65308.531,196
183514,65359.313,24
184077,65553.274,192
184125,65570.889,170
184525,65700.982,333
184657,65750.147,475
184675,65754.851,561
184879,65818.544,360
185000,65861.806,65
185016,65865.871,341
185062,65881.533,285
185135,65908.221,172
185136,65908.349,1112
185401,66005.977,808
185521,66057.319,296
185557,66067.367,508
185599,66083.847,775
185661,66108.422,470
185717,66127.526,715
186078,66269.322,902
186176,66304.479,285
186234,66331.934,1144
186287,66351.997,253
186331,66367.788,535
186704,66499.783,424
186885,66561.045,338
186924,66576.5,226
186968,66589.716,61
186979,66592.372,88
187042,66613.46,885
187090,66633.362,14
187437,66759.63,359
187498,66780.845,283
187519,66786.477,399
187637,66827.98,14
187875,66906.681,939
187882,66908.345,384
187904,66918.089,123
188135,66991.222,2015
188525,67134.736,1174
188550,67143.6,455
188633,67169.519,101
188936,67275.02,78
189384,67440.998,459
189469,67470.501,557
189721,67553.331,228
189728,67554.45,54
189746,67560.322,342
190282,67734.652,781
190697,67882.551,1985
190931,67966.868,271
191444,68146.686,10
191537,68179.197,94
191852,68291.642,578
192236,68427.573,1228
192395,68485.523,108
192404,68487.987,280
192455,68505.666,357
192528,68528.049,201
192944,68687.692,372
192991,68705.74,368
193113,68747.37,125
193120,68750.761,102
193174,68767.802,510
193181,68769.322,1208
193304,68806.361,209
193610,68914.229,716
193627,68919.14,532
193676,68937.012,392
193933,69033.088,182
193970,69043.745,539
194015,69058.0,892
194075,69081.183,436
194818,69338.824,19
194984,69400.502,2015
195170,69464.578,939
195238,69485.635,98
195294,69508.802,11
195358,69530.657,2015
195365,69532.289,16
195888,69709.515,626
195988,69747.21,372
196223,69830.903,995
196318,69859.75,404
196361,69874.582,188
196550,69941.46,66
196607,69965.491,277
196702,70000.114,310
197096,70145.213,368
197379,70242.123,873
197384,70244.218,383
197402,70250.394,325
197414,70253.114,71
197526,70287.4,249
197603,70307.976,37
197634,70318.935,557
197666,70329.607,773
197690,70341.304,1207
197757,70367.766,3738
197928,70440.084,332
198057,70481.683,426
198077,70489.459,133
198150,70514.466,250
198392,70597.999,946
198609,70671.517,457
