N_event,t_trig,tP1,tP2,tP3
54524,19324.958,843,4095,4095
54571,19347.34,2320,4095,4095
54617,19360.524,4095,2205,4095
54710,19398.187,4095,767,767
54737,19408.556,4095,4095,602
55177,19574.632,145,4095,4095
55219,19595.335,507,4095,4095
55256,19611.063,4095,67,4095
55281,19617.686,4095,276,4095
55383,19652.246,4095,4095,677
55521,19701.428,4095,4095,586
55543,19712.101,4095,91,4095
55582,19727.236,4095,111,114
55605,19735.396,4095,1160,4095
55618,19739.347,3892,4095,4095
55976,19862.897,264,4095,4095
56020,19880.56,4095,1079,4095
56308,19986.718,4095,1527,1527
56543,20076.028,4095,148,4095
56556,20082.284,4095,2282,2286
56573,20086.748,4095,4095,1140
56628,20107.579,1087,4095,4095
56741,20148.266,1793,4095,4095
56768,20155.386,4095,54,4095
56829,20177.738,1727,4095,4095
56879,20193.049,2664,4095,4095
56981,20223.956,541,4095,4095
56984,20225.977,435,4095,4095
57170,20295.783,4095,29,4095
57256,20323.366,4095,2066,2066
57293,20337.094,4095,304,4095
57433,20384.404,53,4095,4095
57485,20403.461,189,4095,4095
57578,20432.052,484,4095,4095
57721,20484.803,4095,9,4095
57914,20557.584,4095,13,14
58014,20600.0,4095,328,4095
58169,20652.158,313,4095,4095
58175,20654.206,4095,1389,4095
58278,20691.949,4095,873,4095
58288,20694.83,107,4095,4095
58599,20805.477,4095,318,4095
58631,20820.298,613,4095,4095
58687,20848.506,4095,1490,1490
58774,20879.865,13,4095,4095
58814,20892.425,4095,87,4095
58893,20921.731,320,4095,4095
59116,21003.521,4095,632,4095
59123,21006.517,1600,4095,4095
59347,21086.82,791,4095,4095
59397,21104.244,74,4095,4095
59434,21116.483,4095,4095,64
59531,21152.29,4095,40,4095
59730,21227.521,4095,4095,21
59793,21245.211,4095,4095,51
59807,21252.88,4095,323,328
59856,21268.064,128,4095,4095
59868,21272.911,48,4095,4095
59951,21301.263,136,4095,4095
60017,21322.206,4095,4095,1117
60042,21329.599,4095,858,857
60132,21365.758,102,4095,4095
60280,21417.02,4095,1076,1076
60302,21425.276,4095,4095,365
60421,21465.964,285,4095,4095
60516,21500.506,1073,4095,4095
60638,21543.05,4095,582,4095
61091,21712.214,4095,2946,4095
61095,21714.07,586,4095,4095
61307,21787.044,84,4095,4095
61357,21803.843,1869,4095,4095
61358,21803.859,4095,167,167
61411,21823.635,4095,410,409
61446,21836.37,65,4095,4095
61652,21918.177,4095,1318,4095
61719,21940.128,4095,66,66
61753,21955.568,68,4095,4095
61759,21957.92,4095,23,4095
61803,21973.279,4095,222,4095
61946,22026.078,103,4095,4095
62115,22088.924,4095,1843,4095
62186,22110.492,4095,244,244
62283,22142.651,4095,842,842
62312,22156.059,4095,823,824
62320,22158.667,4095,91,4095
62322,22159.163,4095,114,4095
62326,22159.963,4095,23,22
62346,22165.803,4095,4095,2656
62357,22168.57,4095,817,4095
62410,22185.221,755,4095,4095
62446,22196.698,4095,875,4095
62543,22233.753,288,4095,4095
62954,22394.501,4095,4095,2936
62957,22394.965,4095,664,4095
62971,22399.909,4095,766,4095
63044,22427.253,4095,109,110
63082,22442.708,4095,877,877
63155,22465.924,96,4095,4095
63237,22496.659,34,4095,4095
63300,22518.019,4095,505,505
63413,22562.353,4095,4095,2565
63461,22582.081,191,4095,4095
63541,22606.657,4095,4095,1045
63550,22611.312,4095,491,492
63677,22653.583,675,4095,4095
63703,22665.663,811,4095,4095
63710,22668.175,259,4095,4095
63723,22671.823,4095,349,4095
63749,22682.206,4095,673,4095
63797,22701.454,4095,389,4095
63843,22716.111,262,4095,4095
63898,22736.829,217,4095,4095
64166,22836.523,1233,4095,4095
64174,22838.538,26,4095,4095
64181,22841.403,4095,42,4095
64191,22845.499,4095,4095,432
64235,22862.731,199,4095,4095
64269,22873.146,3597,4095,4095
64354,22902.938,4095,984,986
64387,22913.577,4095,1278,4095
64417,22924.041,4095,4095,107
64484,22946.169,691,4095,4095
64667,23021.058,928,4095,4095
64702,23033.51,1527,4095,4095
64760,23056.709,4095,23,4095
64876,23096.132,4095,319,318
64953,23123.937,4095,2443,4095
64999,23140.128,4095,457,4095
65197,23213.323,712,4095,4095
65243,23230.714,1849,4095,4095
